Archivo Tiempo(ms) Memoria(KB)
testcases_3_1.txt 0.002823 3456
testcases_3_2.txt 0.00408 3584
testcases_3_3.txt 0.001454 3584
testcases_5_1.txt 0.002049 3584
testcases_5_2.txt 0.002418 3584
testcases_5_3.txt 0.001766 3584
testcases_8_1.txt 0.003551 3584
testcases_8_2.txt 0.003098 3584
testcases_8_3.txt 0.004354 3584
testcases_20_1.txt 0.006667 3584
testcases_20_2.txt 0.009076 3584
testcases_20_3.txt 0.011323 3584
testcases_40_1.txt 0.139539 3584
testcases_40_2.txt 0.006412 3584
testcases_40_3.txt 0.016791 3584
testcases_80_1.txt 0.011219 3584
testcases_80_2.txt 0.030323 3584
testcases_80_3.txt 0.012683 3584
testcases_100_1.txt 0.018575 3584
testcases_100_2.txt 0.021701 3584
testcases_100_3.txt 0.00799 3584
testcases_150_1.txt 0.04328 3584
testcases_150_2.txt 0.027812 3584
testcases_150_3.txt 0.023591 3584
testcases_200_1.txt 0.043365 3584
testcases_200_2.txt 0.015582 3584
testcases_200_3.txt 0.01596 3584
